text,frequency
^ㅎ^ㅎ,1
14,1
17,1
1층로비에,1
bar,1
GS25도,1
jacuzzi,1
out,1
Take,1
view,1
가격,1
가격대,6
가까보,1
가까이,1
가능,2
가운데,1
가전,1
가족,4
가족단위,1
가지,1
가짓수,1
각자,1
간격,1
간단,2
감동,1
강북지역,1
같습니,1
객실,7
거리,2
거리상,1
거실,5
건물,2
건조,1
겨울,1
결혼식끝나고,1
경복궁,9
경우,1
고객,2
고명,1
공간,5
공기,1
관광,1
관리,2
관점,1
광화문,8
괜챦습니다,1
구경하,2
구비,4
궁주변을,1
그릇,2
근접,1
금고,1
기념,3
기분,1
기억,1
깔끔,7
깨끗,5
꼭갈게요,1
나갔어용,1
나름,1
날씨,1
낡긴했지만,1
남산,1
남자,1
내년,1
내부,1
널찍,1
넓은숙소,1
노을,1
놀이방,1
니스,1
다갈,1
다음,1
답답,1
당시,1
대만족,1
대비,1
덕분,1
덕수궁,1
데리,1
도구,1
도보,2
동안,1
된곳이라,1
들이,4
디럭스,1
때문,1
레스토랑,2
레지던스,2
렌지,1
롯데마트,1
루프,2
룸사이즈가,1
마을,1
마음,1
만족,8
말하,1
맛있게먹은,1
매트리스,1
맥주,1
메뉴,1
며칠,1
명소,1
모든곳에,1
못갔지만,1
무엇,2
물놀이,1
미닫이,1
바닥,1
방들이깨긋했고,1
방문,1
방안,1
배정,1
번째,2
보태,1
볼일,1
부근,1
부모님,1
부분,2
부족,1
북촌,1
분위기,1
불편,1
불편함,1
뷔페,2
뷰가,2
뷰도,3
비벼먹는데,1
비빔밥,2
비용,1
사우나,1
사이,1
산책,1
삼청동,1
상태,1
샐러드,1
생각,3
생일,1
생활,1
서비스,2
서양,1
서울,3
서울관광,1
설명,2
세탁,3
세탁기,1
셔틀버스,1
소파,1
수영장,2
숙박,2
숙소,2
스튜디오,1
스프,1
시간,1
시내,1
시설,6
시원,1
식기,1
식당,2
식사,9
신경,1
써머셋입니다,1
씽크대가,1
씽크대와,1
아기,1
아늑,2
아무기대없이왔다가,1
아이,1
아이들,2
아주,1
아침,9
아파트,1
안국,1
안그렇거든요,1
안락,6
안전,1
야경,1
양호,1
얘기,1
어린이,1
업그레이드,3
에어컨때문인지,1
엔트리,1
여기,1
여유,2
여행,3
예약,2
오프너,1
오후,1
옥상,4
와인,1
와인잔,1
완벽,1
완비,1
왠만한,1
외국,1
요리,1
우수,1
위치,29
유적,1
음식,1
의자,1
이동하,1
이번,1
이아,1
이용,11
이태,1
이해,1
인근,1
인사,5
일과,1
일반,1
입맛,1
잠자리,6
장기,1
저녁,1
저렴,1
전기,1
전망,2
전자레인지,1
절약,1
접근,3
접시,1
정신,1
제이드,1
조경,1
조계사,2
조리,1
조리기구,1
조망,1
조식,11
조용,3
종각,1
종로,1
좋았구,1
좋은거,1
주깨,1
주말,1
주방,3
주변,3
주차공간,2
주차장,2
중간,1
중심가,1
지하철역,1
직원,9
진심,1
짱이에용,1
차량,1
차량통제,1
참고,1
챠널이,1
청결,3
청결도,1
청와대,2
체력,1
체크인,1
최고,4
최상,1
최적,1
추천,1
취양,1
친구,1
친절,10
침구류,3
침대,6
침실,3
쾌적,2
쿡탑,1
크리스탈,1
키카드,1
타입,1
테이블,1
투숙자,1
투어,1
특히감자와단호박샐러드,1
티비,2
펜트하우스,1
편리,8
편안,7
편암,1
편의,1
편의시설,2
편의점,3
포함,1
폭염,1
푹신,2
프론트,1
피곤,2
피트,1
필요,1
하기,5
하나,1
하지,1
한교,1
한국,1
해도,1
해서,3
해주시,1
호텔,5
호텔객실,1
화장실,1
화장실겸욕실이두개나있어서참좋았습니다,1
확인해야해용,1
확트인전망,1
환기,1
훌륭,2
휴식,1
