text,frequency
^ㅎ^ㅎ,1
100,1
20,1
2정거장이라,1
3호선,1
4가족,1
4인가족,1
5가역이랑도,1
ddp,1
가격,6
가격대,6
가구,1
가기,1
가능,2
가드,1
가성비,1
가족,2
간편,1
강남,1
강북,1
객실,12
거리,1
경복궁,1
경험,1
계획,1
고궁,1
고층,1
곳이여서,1
공간,1
공원,1
관광,2
관광지,1
관리하,1
광장,1
광장시장,9
광화문,1
교통,4
구경,1
구성,1
굿굿굿,1
근처,3
금액,1
기대,1
기때,1
기본,2
기침,1
깔끔,6
깨끗,14
나들이,1
나름,1
나쁘진,1
남산,2
냄새,1
냉방,1
넉넉,1
다들,1
다른곳,1
다양,1
다음,1
담당,1
대가,1
더운날,1
도보,2
도시뷰도,1
동네,1
동대문,2
동대문시장,1
동선,1
두장받으세요,1
들이,2
리셉션,2
마리,1
마무리,1
마을,1
마음,1
만족,6
많진,1
맛있었구,1
메뉴,2
모습,1
모텔,1
못본게,1
무료,3
무엇,1
문제,2
뭇국,1
바로앞에,1
바로앞이라,1
방문,5
방음,1
방향제,1
배정,2
버스,3
번째,2
베드,1
변원과,1
병원,1
분실물,1
불변,1
뷔페,1
뿌듯,1
사람,1
사용,3
사이즈,1
사진,1
산책갔었는데,1
상태,1
생각,1
생각했던거,1
서울,5
서울대병원,1
서울대병원때문에,1
서울패션,1
소음,1
소통,1
수준,1
숙박,4
숙소,4
스벅,1
스파,1
시설,5
시원,1
시장,2
식사,3
신선도,1
실내,1
싶을정도로,1
아늑,2
아이,1
아이들,2
아이셋,1
아침,8
안내,1
안내데스크,1
안해,1
야경,1
어린이,1
언제쯤,1
얼음,1
업그레이드,6
업글,1
엘리베이터,1
여유,1
여행,2
열대야,1
였어요,1
예약,3
온도,1
외출,1
요청,1
용이,2
위치,15
위크,1
음식,2
응대,2
의사,1
이가까워서,1
이곳,1
이동,1
이상,1
이용,3
이용했네여,1
인근,1
인사,2
잇음,1
잠자리,3
장소,2
재료,1
재방문,1
저렴,1
적정,1
전망,2
전망또한,1
전반적,4
전화,1
접근,2
정돈,1
정류장,1
정성,1
제외,2
조식,17
조식또한,1
조용,4
종로,4
종류,2
종묘,7
종업원,1
좋아용,1
좋은위치에,1
주변,2
주변환경,1
주요,1
주차,4
주차공간,1
주차비,1
주차장,3
준비,1
중부지방,1
지점,1
지정,1
지하,1
지하1층,1
지하철,1
지하철역,3
직원,14
창경궁,1
청결,7
청계천,2
체크인,2
최상급,1
추천,1
출장,1
충실함,1
친구3명과,1
친절,17
침구,6
침구류,2
침대,14
카드,1
캐리어,1
컨디션,1
쾌적,5
타워,2
타임,1
투숙,1
패밀리,2
편리,5
편리함,2
편안,7
편안한침구,1
편의점,2
평일,1
포근,1
푹신,4
필요,1
하기,1
하나,2
하니,3
하루,1
하면,1
하시,2
한편,1
합리,2
해서,7
해주,2
해주시,2
호텔,12
혼자,1
환기,1
훌륭,4
흡연,1
