text,frequency
^ㅋ,1
1박2일,1
20도로해도,1
24,1
26도정도에,1
4인실로,1
GOOD,1
가격,3
가격대,4
가능,1
가방,1
가성비,4
가성비좋았슴,1
가족,9
가지수,1
간단,2
감사,2
객실,7
객실이넓고,1
거리,4
거실,2
거주,1
결함,1
결혼식,1
경복궁,1
공간,4
관광,1
관리,2
광장시장,1
괞찬지만,1
교통,2
구경,1
구성,2
구조,1
그레,1
그레이트,1
그저그랬습니다,1
기대,1
기본,1
기침,1
기타,2
깔끔,4
깨끗,9
나들이,1
나름,1
나이스한,1
낙원,2
내년,1
내부,1
내집,1
냉장고,1
넉넉,1
넒고,1
넘깨끗하고아이들이놀기편해서가족여행숙소로,1
놀이방,2
능이,1
다른호텔은,1
다음,6
다자녀,1
담요,1
대가족,1
대체,1
던체적으로,1
덥게,1
도보,2
동생,1
들이,1
따뜻,1
렌지,1
룸상태는,1
만족,11
맛집,1
먹거리,2
며칠,2
명소,1
명이,1
모두,1
모두만족스러운곳,1
모든면에서,1
무난,1
무엇,3
미술관,1
미온수라서그런지,1
박스,1
밥먹을곳도,1
방문,4
배치,1
번째,2
별도,1
보관,1
보통,1
부모님,1
부분,1
부억,1
부족,1
북촌,1
북촌한옥마을,1
분위기,1
불만족,1
뷔페,1
빵빵,1
사무,1
사용,1
사우나,7
사진,1
삼청동,3
상가,1
상태,2
생각,5
생각지도못했던무료업그레이드넘감사했어요,1
서울,2
설정,1
세탁,2
세탁기,1
수영,3
수영장,24
수온,1
숙박,1
숙소,9
스러움,1
스위츠,1
스크램블,1
스파,1
시간,5
시설,17
시원,1
식기,1
식사,6
식상,1
식탁,1
신경,1
실내,1
싶은곳이에요,1
아구찜,1
아이,1
아이들,7
아이셋,1
아침,3
안국동,1
안락,1
야경,1
야경또한,1
어느,1
어른,1
어린이,1
언제,1
엄치,1
업그레이드,3
업글,1
에어콘,1
여러개있어,1
여러명,1
여행,2
역도,1
예약,3
예정,2
오라,1
오라카이에서,1
오픈,1
온도조절기,1
왔습니당,1
요청,1
용의,1
용품,1
움직일수있을정도,1
위치,23
음식,1
응대,3
응접실,1
의사,3
이곳,1
이동하,1
이번,2
이상,2
이용,9
인사,9
인접,1
일본에,1
일정,1
잠자리,2
잠자리편했고,1
잡기,1
장과,1
장기,1
장비,1
장점,1
재방문,4
저녁,1
저희,1
적당,1
전기,1
전망,1
전반적,1
전체,1
접근,3
정도,1
조식,8
조용,1
조화,1
종류,1
좋았^ㅇ어요,1
좋았어욤,1
좋은곳입니다,1
주방,1
주변,2
주일,1
주차,1
준비,1
중인,1
직계가족,1
직원,9
직원들의서비스,1
참석,1
창덕궁,1
청결,5
청결도,3
청소,1
청와대,1
체크인,2
최고,1
최적,1
쵝오,1
추가,1
추운,1
추천,3
출장자,1
친구,3
친절,13
침구,1
침구옮겨주시고,1
커플,1
컨디션,3
콘도,2
쾌적,10
투숙,2
투숙객,1
파투,1
편리,4
편안,3
편의시설,1
푹신,1
풍성,2
프레이,1
프리미엄,1
필요,2
하고,1
하기,3
하루,1
하서,1
하시,1
한가,1
한잔,1
할만,1
해도,1
해서,5
해주,2
해주시,1
헬스장,1
호캉스,1
호캉스를,1
호텔,4
훌륭,2
