text,frequency
1호선,1
2박해서,1
3호선,1
all,1
at,1
friendly,1
good,1
location,1
Lunch,1
service,1
time,1
TV,1
가격,1
가격대,3
가능자,1
가성비,3
가습기,1
가장좋았던건,1
가족,1
간단,1
간조,1
감사,1
강북,1
객실,3
거리,3
경복궁,2
계획,1
고궁,1
공간,1
공사,1
공항,1
공항버스,2
과정,1
관광,3
광화문,1
교체어려웠나봐요,1
교체해달라고,1
교통,3
교통도,1
교통편,1
근접,2
근처,2
기본,1
김포공항,1
깔끔,9
깨끗,8
나름,2
난방시설,1
내부,1
내외,1
널찍,1
넓이,1
다녀왔던곳입니다,1
다니,1
다양,1
다음,3
다음날,1
당연,1
대로변,1
대체,1
대형,1
도보,4
도움,2
도착,1
됴통편하고좋아요,1
뒷건물이라,1
드립,1
들이,6
등등,1
딱가격만큼입니다,1
로맨틱,1
로비,3
룸서비스,1
리셉션,1
만원,1
만족,3
머무,1
명소,1
모두,2
무난,3
무드,1
무엇,1
문의,1
문제,2
바로옆에,1
바로옆이라,1
발생하긴,1
배치,1
버스,2
부분,2
부탁,2
부페,1
북촌,2
분분,1
불구,1
비교,1
비지니스,1
사항,1
산책,2
삼청동,5
상냥,1
상태,1
샤워,1
서비스,2
서울,3
서울시내,1
세탁,2
소박,1
소음,1
손님,2
수압,1
숙면,1
숙소,4
슬리퍼,3
시내,2
시설,3
시스템,1
식사,4
신라스테이,1
신속,1
실용적,1
아침,5
안국역,3
안락,2
안하,1
애매,1
얘기,1
어디,1
업그레이드,1
여행,3
여행와서,1
연락,1
영어,2
예약,1
오늘,1
오래된건물인데,1
옵션,1
와준,1
완전,1
외국,3
요청,1
욕실,1
욕조,1
용이,2
위치,36
위치가다합니다,1
응대,2
의향,1
이동,1
이동하,2
이메일,1
이용,7
이점,1
익선,1
인근,1
인사,14
인사동거리옆인점등,1
인접,1
인천공항,1
일본어,1
일본인,1
자기,1
작동,1
잠자리,4
장소,3
재질,1
저렴,4
저희,1
적극도,1
적당,1
적절,1
전반적,1
전시회때문에,1
전철,2
전체,1
접근,2
접근성이좋은편입니다,1
정류장,2
정리,1
정말,1
정문,1
조계사,1
조식,7
조용,3
조치,1
종각,1
종각역,5
종로,4
좋았어용,1
주변,2
중간,2
중심,2
중심지,1
지갑,1
지역,1
지저분,2
지하철,1
지하철역,1
직원,19
진동,1
짱짱해서,1
창가,1
창덕궁,1
창문,1
찾는곳이에요,1
처리,1
청결,4
청결도,1
청계,1
청소,3
청소상태,1
체크아웃,2
최고,3
최신,1
최적,3
추억,1
추천,2
출구,1
친구,1
친절,19
침구,1
침대,3
침대시트,2
카운터,1
카펫,1
커버,1
택시,2
트리스,1
튼튼,1
편리,4
편리함,1
편안,3
편의점,1
편한,1
프론트,1
필요,2
하고,1
하구,1
하기,1
하니,1
하룻밤,1
하면,1
하시,3
하지,2
하진,1
한데,1
한식당,1
한직,2
한편,1
핫플,1
해결,2
해서,5
해외,1
해주,2
호텔,6
화려,1
환경보호,1
활동,2
활동성,1
훌륭,2
