text,frequency
^ㅎ^ㅎ,1
akswhrgody,1
can,1
dkclatlrtk,1
DMZ,1
good,1
here,1
If,1
is,1
kind,1
Korean,1
speak,1
staff,1
was,1
you,1
가격,9
가격대,6
가끼이에,1
가성비,3
가지,1
가지수,1
가치,1
감사,1
객실,1
거리,1
건물,10
건축,1
게스트하우스,1
겨울,1
결함,1
골목,2
공간,4
과일,1
교통도,1
군데,1
그정,1
근처,1
금연,1
기대,1
기대안했는데,1
기분,1
기준,1
깔끔,13
깨끗,24
깨끗한점은좋았습니다,1
나름,1
나머지,1
나중,1
난방,2
날씨,1
내외,1
냄새,1
냉동만두,1
냉방,1
너어어어무,1
넖음,1
다들,1
다양,3
달걀,1
데스크,1
도미토리,3
동대문,1
동안,1
든든,1
들러보세여,1
들이,1
등등,1
디자인,1
따뜻,3
딸램이랑,1
로비,3
리셉션,2
마음,2
만족,4
만큼,1
맛집,1
맞이,1
매너,1
매트리스,1
메뉴,2
무료,1
물새,1
물줄기,1
바나나,2
바람,1
방음,1
방충망,1
보온,1
부족,1
부페,1
분위기,2
불편,1
붙박이,1
블라인드,1
빵빵,1
사물함,1
사이,1
삼겹살,1
상태,1
새것,1
생각,3
샤워,2
샤워실,1
서늘,1
서울,1
세탁,1
소리,2
소음,1
소음도,1
수다,1
수압,1
숙박,1
숙소,5
스위트룸,1
스탭,1
스프,1
시리얼,3
시설,6
식당,2
식사,5
식품,1
신랑,1
신식,1
신축,1
실내,2
실속,1
씨리얼,1
아침,6
안락,2
안보,1
안좋음,1
애정행각,1
야채,1
얘기많이,1
어디,1
어보,1
얼마,3
연인,1
옆방,1
예정,1
오렌지,1
외국인,1
욕실,1
위치,6
윗방,1
윗사람,1
육전,1
은은,1
음식,1
응대,1
이동,1
이동하,1
이미지,2
이번주,1
이불,2
이틀,1
인상좋으시고,1
인스탄트,1
자기,1
잠자리,5
저렴,1
적당,1
적장,1
전부,1
전체,3
점심,1
정도,1
정말,2
제공,1
조명,1
조식,16
조용,5
좋았어요^ㅋ^ㅋ,1
주변,2
주변환경,1
주스,1
준비,1
지하철,1
직원,13
진동,1
진심,1
짜임새,1
창문,1
청결,3
청결도,1
청계천,1
체크인,2
추운,1
추천,1
친절,16
침구,4
침구류,1
침대,6
캐리어,1
커피,1
쾌적,2
테마,1
토스트,1
투어,1
트윈,1
편리,2
편안,1
편의점,1
포근,1
포함,1
푹신,4
풍물시장,1
필요,1
하고,1
하구,1
하나,3
하니,1
하루,1
하룻만,1
하지,1
한번씩,1
한점,1
할로윈,1
합리,1
해서,7
호텔,3
혼잡,1
화장실,4
훌륭,1
히터,1
