text,frequency
12,1
4개이여서,1
8800,1
가격,1
가격대,1
가운데,1
갈갈갈,1
감기,1
개선점,1
객실,1
거리,1
거림,1
걱정,1
건물,1
건조,1
계주,1
고생,1
골목,1
공기,1
관광객,1
광고,1
그것,1
근처,1
기대,1
기억,1
낙후,2
냄새,1
단체,1
단체관광객,1
단촐,1
담배,1
대로변,1
대처,1
동묘,2
동반,1
동안,1
들이,2
때문,1
리모컨,2
많진,1
매너,1
매트리스,2
머리카락,1
메뉴,2
못잤읍니다,1
무서움,1
물소리,2
미비,1
바닥,2
발견,1
밤길,1
방음,3
병원,1
보일러,1
복잡,1
부근,1
부실,1
부족,1
불만,1
불편,2
비누,1
비즈니스,1
비치,2
비해,1
새벽,1
생각,2
샤워,1
샤워소리때문에,1
서비스,2
설명,1
세면도구,1
소리,3
소음,1
수건,1
수도물,1
수영장,1
스프링,1
시설,2
시장,4
시트,1
식당,1
식사,1
신경,1
신청,1
쓱쓱싹싹,1
아동,1
아침,1
안되더라구여,1
안락,1
애매,1
어르신,1
얼마,1
없슴,1
에어컨,1
여자,1
연기,1
옆방,1
옆사람,1
예약,1
온풍,1
와이파이,1
외국,1
욕실,2
위생,1
위치,6
위험,2
윗방,1
윗층,1
유료,1
이틀,1
이해,1
인건,1
인원,1
일회용,1
입구,1
입원치료했슴,1
자리,1
자체,2
작동,1
잘못,1
잠자리,1
장염,1
정도,2
정리,1
제기,1
조명,1
조식,4
좋은곳인줄알고,1
주변,4
주차시설,1
준비,1
중국,1
중국인,1
지역,1
지저분,1
지하철역,1
진입,2
차인,1
청소,2
초행,1
출구,1
치안,1
치약,2
친절,1
침구류,1
침대,4
칫솔,3
카페,1
카펫이다보니,1
쿠션,1
타올,1
투어,1
특이,1
틀긴,1
티비,1
프론트,1
하나,1
하지,1
해서,1
해외,1
했슴,1
호텔,10
환경,1
환기,2
휀소리가,1
휴가,1
흡연,1
히터,2
ㅠㅠ,1
